name,calories,protein,carbs,fat,category
Jam tart,360.72,4.42,46.18,17.35,General
Orange cream tart,197.16,2.58,27.43,8.72,General
Pineapple tart,195.4,2.29,28.62,8.21,General
Cheese and mushroom tart,246.1,5.51,21.43,15.28,General
Cottage cheese pie,238.98,7.45,20.66,13.83,General
Minced meat pie,221.55,7.38,18.11,13.04,General
Apple cinnamon pie,258.73,3.35,33.68,12.21,General
Lemon meringue pie,224.43,3.88,35.11,8.16,General
Chocolate meringue pie,214.76,4.98,28.8,9.17,General
Cream puffs,221.33,4.7,16.0,15.48,General
Chocolate eclairs,239.42,4.24,26.22,13.5,General
Cheese balls,681.28,2.21,4.81,72.57,General
Minced meat patties,265.72,6.88,15.25,19.57,General
Cheese patties,324.01,7.38,22.23,22.67,General
Hot cheese souffle,177.1,9.18,5.41,13.23,General
Hot potato souffle,125.64,5.51,8.56,7.64,General
Hot fish souffle,142.92,11.23,3.69,9.24,General
Hot spinach souffle,104.25,5.43,4.19,7.24,General
Plain cream cake,353.94,6.18,47.18,16.17,General
Apple cake (Seb ka cake),290.08,4.94,39.48,12.87,General
Marble cake,354.11,6.3,46.88,16.27,General
Chocolate cake,335.61,6.01,45.14,15.18,General
Orange cake,357.61,6.1,48.28,16.21,General
Fruit Loaf ,324.19,5.36,46.49,13.31,General
Banana cake (Kele ka cake),389.51,5.77,40.0,23.31,General
Chocolate chiffon cake,311.71,5.76,37.87,15.8,General
Christmas cake,372.95,5.49,48.29,16.88,General
Strawberry and vanilla cake with butter icing,370.54,3.89,44.25,20.39,General
Eggless cake,318.08,8.12,46.14,11.75,General
Swiss roll,251.87,7.3,48.34,3.77,General
Pineapple pastry ,208.21,6.06,29.04,7.87,General
Black forest pastry,233.55,6.09,34.48,8.46,General
Coconut finger,274.86,7.09,42.56,8.86,General
Pineapple cake ,195.57,5.01,23.51,9.34,General
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),424.8,6.56,47.1,23.62,General
Chocolate chip cookies,425.29,5.79,57.98,19.38,General
Sweet plain biscuit,380.76,5.86,50.29,17.67,General
Chocolate biscuit,379.76,5.88,51.56,17.09,General
Coconut biscuit (Nariyal ke biscuit),434.98,5.78,42.9,27.16,General
Sweet and salty biscuit (Meethay aur namkeen biscuit),407.96,6.15,45.09,22.39,General
Peanut biscuit,401.05,8.45,46.72,20.41,General
Pin wheel biscuit,404.6,5.4,54.56,18.66,General
Saffron biscuit (Kesar biscuit),458.61,6.05,59.7,22.01,General
Masala biscuit,393.64,6.06,45.18,20.75,General
Ice box cookies,374.24,5.7,56.09,14.44,General
Ginger bread man,365.0,6.61,60.26,11.01,General
Danish cookies,475.33,5.33,58.0,24.92,General
Short bread cookies,443.09,6.03,64.82,17.98,General
Coffee biscuit,416.57,6.9,46.55,23.0,General
Melting moments,437.91,5.71,55.84,21.78,General
Ginger biscuit (Adarak ke biscuit),417.91,5.98,58.44,18.31,General
Soyabean muthias,839.33,2.46,3.7,90.45,General
Soyabean tikki,698.17,3.53,4.39,74.02,General
Soyabean namak paras,838.46,2.65,4.65,89.83,General
Peanut burfi (Moongfali ki burfi),550.99,9.31,48.14,36.84,General
Spinach peanut namak paras (Palak moongfali namak paras),740.16,1.65,6.62,78.51,General
Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),758.89,2.08,7.63,80.04,General
Rice moong dal cheela (Chawal aur moong dal ka cheela),798.26,2.74,11.13,82.44,General
Split bengal gram sweet rice (Channa dal sweet rice),190.21,4.15,41.07,0.64,General
Sweet poori (Meethi poori),782.75,2.12,14.26,79.63,General
Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),441.08,9.84,60.0,18.41,General
Spinach burfi (Palak burfi),121.17,2.71,12.76,6.81,General
